repository,total_events,active_contributors,bot_events,first_event,last_event,pr_events,issue_events,bot_ratio
unifyai/ivy,547741,234,380,2023-01-01 00:00:02,2023-01-31 23:51:33,851,4120,0.0006937585464663043
mhutchinson/mhutchinson-distributor,76591,5,45083,2023-01-01 00:01:57,2023-01-31 23:58:14,48369,2,0.5886200728545129
Risk-DAO/simulation-results,60866,5,0,2023-01-01 00:02:29,2023-01-31 23:57:50,0,0,0.0
NixOS/nixpkgs,25343,1421,890,2023-01-01 00:01:35,2023-01-31 23:53:45,9917,10482,0.035118178589748646
odoo/odoo,22656,471,0,2023-01-01 00:05:51,2023-01-31 23:35:05,3407,6216,0.0
pytorch/pytorch,21975,823,7629,2023-01-01 00:27:27,2023-01-31 23:58:22,2584,11094,0.34716723549488054
kubernetes/kubernetes,14974,648,8949,2023-01-01 00:11:56,2023-01-31 23:59:33,1010,13617,0.597635902230533
home-assistant/core,14938,2601,2522,2023-01-01 00:11:28,2023-01-31 23:29:37,2265,11348,0.16883116883116883
elastic/kibana,14513,404,177,2023-01-01 03:40:27,2023-01-31 23:54:20,2122,10992,0.012195962240749673
scalr-automation/terraform-scalr-flat-mirror4,14263,12,0,2023-01-01 04:09:56,2023-01-31 21:37:43,7381,0,0.0
demisto/content,13766,130,7788,2023-01-01 00:06:24,2023-01-31 22:39:34,1523,3662,0.5657416824059276
openshift/release,13659,385,8833,2023-01-01 00:01:17,2023-01-31 23:54:10,1540,11503,0.6466798447909803
Expensify/App,13444,213,2964,2023-01-01 03:38:34,2023-01-31 23:59:36,696,11633,0.22047009818506397
scalr-automation/terraform-scalr-flat,12705,12,0,2023-01-01 02:54:31,2023-01-31 17:52:59,6499,0,0.0
harness/harness-core,12465,175,4116,2023-01-01 05:53:49,2023-01-31 23:48:24,2338,5652,0.3302045728038508
microsoft/vscode,12368,1868,1775,2023-01-01 01:06:48,2023-01-31 23:53:06,1376,9845,0.14351552393272962
rust-lang/rust,12248,756,1017,2023-01-01 00:01:23,2023-01-31 23:56:58,1558,10481,0.08303396472893533
cockroachdb/cockroach,12082,179,3946,2023-01-01 02:24:41,2023-01-31 23:58:25,1411,8642,0.3266015560337692
scalr-automation/terraform-scalr-flat-mirror1,11730,12,0,2023-01-02 04:10:22,2023-01-31 21:06:09,6024,0,0.0
dotnet/runtime,10989,771,2496,2023-01-01 00:31:07,2023-01-31 23:55:46,1515,8655,0.22713622713622714
Homebrew/homebrew-core,10950,383,6625,2023-01-01 00:02:16,2023-01-31 23:06:40,4758,3976,0.6050228310502284
AdguardTeam/AdguardFilters,10931,160,3054,2023-01-01 00:02:05,2023-01-31 23:43:07,583,7799,0.27938889397127437
flutter/flutter,10613,1737,1980,2023-01-01 00:09:24,2023-01-31 23:56:12,1215,8589,0.18656364835579006
scalr-automation/terraform-scalr-flat-mirror2,10034,12,0,2023-01-03 06:33:23,2023-01-31 20:44:38,5112,0,0.0
godotengine/godot,9987,1065,8,2023-01-01 00:03:49,2023-01-31 23:58:10,1603,8155,0.0008010413537598879
grafana/grafana,9871,669,1098,2023-01-01 00:51:44,2023-01-31 23:58:20,2204,3769,0.11123493060480194
airbytehq/airbyte,9867,367,776,2023-01-01 09:47:36,2023-01-31 23:55:29,1390,4402,0.07864599168946995
pingcap/tidb,9048,146,6824,2023-01-02 07:39:46,2023-01-31 23:35:01,732,8007,0.7541998231653404
odoo/documentation,8886,53,0,2023-01-01 00:40:25,2023-01-31 23:35:07,258,469,0.0
WebKit/WebKit,8853,154,0,2023-01-01 00:09:55,2023-01-31 23:57:08,2464,5105,0.0
wjz304/Redpill_CustomBuild,8781,725,5260,2023-01-01 00:13:44,2023-01-31 23:04:26,0,8742,0.5990206126864822
leanprover-community/mathlib4,8740,73,3662,2023-01-01 00:07:16,2023-01-31 23:01:35,1246,1824,0.41899313501144164
suttacentral/bilara-data,8698,6,0,2023-01-01 02:00:32,2023-01-31 23:47:17,99,5,0.0
MicrosoftDocs/azure-docs,8633,1466,2151,2023-01-01 00:38:46,2023-01-31 23:54:25,1070,7122,0.2491601992354917
cloudquery/cloudquery,8562,36,6762,2023-01-01 00:18:19,2023-01-31 23:15:57,2227,1574,0.7897687456201822
EddieHubCommunity/LinkFree,8371,612,2599,2023-01-01 05:33:45,2023-01-31 23:00:32,2856,3853,0.3104766455620595
scalr-automation/terraform-scalr-flat-mirror5,8302,11,0,2023-01-02 02:49:18,2023-01-31 14:33:14,4239,0,0.0
scalr-automation/terraform-scalr-flat-mirror3,8290,11,0,2023-01-02 10:25:31,2023-01-31 22:19:00,4230,0,0.0
openshift/openshift-docs,8149,369,2364,2023-01-01 00:01:07,2023-01-31 22:14:54,2350,4757,0.2900969444103571
harness/harness-core-ui,8095,87,4309,2023-01-01 01:47:56,2023-01-31 23:50:04,1119,4914,0.5323038912909204
Automattic/wp-calypso,8038,357,1696,2023-01-01 02:11:03,2023-01-31 23:53:45,1323,4572,0.21099776063697437
JuliaRegistries/General,7549,99,5119,2023-01-01 00:18:35,2023-01-31 23:47:19,3590,2042,0.6781030600079481
openjdk/jdk,7461,230,4874,2023-01-01 05:02:18,2023-01-31 23:55:59,1017,5246,0.6532636375820936
department-of-veterans-affairs/va.gov-team,7360,280,416,2023-01-03 02:56:35,2023-01-31 23:52:16,55,5862,0.05652173913043478
sourcegraph/sourcegraph,7339,113,744,2023-01-01 00:42:14,2023-01-31 23:55:26,1405,2491,0.10137620929281918
appsmithorg/appsmith,7329,223,2487,2023-01-01 07:08:32,2023-01-31 23:54:00,587,4904,0.3393368808841588
brianchandotcom/liferay-portal,7201,125,0,2023-01-02 11:23:13,2023-01-31 23:48:25,3238,3097,0.0
odoo-dev/odoo,7146,238,0,2023-01-01 13:43:41,2023-01-31 23:43:13,425,255,0.0
llvm/llvm-project,7049,890,631,2023-01-01 00:06:08,2023-01-31 23:54:30,4,4111,0.08951624343878564
gravitational/teleport,6975,157,488,2023-01-02 00:21:14,2023-01-31 23:50:04,1728,1582,0.0699641577060932
WordPress/gutenberg,6615,375,1067,2023-01-01 00:03:00,2023-01-31 23:52:47,846,3922,0.16130007558578988
StarRocks/starrocks,6468,133,2170,2023-01-01 01:26:53,2023-01-31 23:25:26,1691,3985,0.3354978354978355
stackrox/stackrox,6432,57,3553,2023-01-02 01:20:08,2023-01-31 23:54:20,728,4123,0.5523942786069652
getsentry/sentry,6337,213,728,2023-01-01 00:04:40,2023-01-31 23:55:14,1925,1573,0.11488085845037084
starknet-io/starknet-website,6331,6,399,2023-01-03 10:53:24,2023-01-31 23:28:43,116,399,0.06302321908071394
liferay-core-infra/liferay-portal,6219,48,22,2023-01-01 00:49:57,2023-01-31 23:50:35,680,5459,0.0035375462292973146
AUTOMATIC1111/stable-diffusion-webui,6169,1295,8,2023-01-01 00:25:03,2023-01-31 23:54:56,455,5387,0.00129680661371373
Homebrew/homebrew-cask,6042,238,3681,2023-01-01 00:46:48,2023-01-31 22:53:06,3045,1516,0.6092353525322741
chiefmikey/chalet-le-jar,5977,5,186,2023-01-01 00:04:52,2023-01-31 23:59:07,92,92,0.031119290614020412
CitizenLabDotCo/citizenlab,5920,15,202,2023-01-01 04:03:04,2023-01-31 23:04:50,593,333,0.03412162162162162
apple/llvm-project,5614,49,0,2023-01-01 02:00:12,2023-01-31 23:59:36,560,392,0.0
MystenLabs/sui,5608,151,1544,2023-01-01 00:50:32,2023-01-31 23:59:10,1330,1651,0.275320970042796
